closed_ts,pnl,reason
1638230400000,-6.6697,sl
1638403200000,-9.2864,sl
1638489600000,-9.1899,sl
1638662400000,5.6809,tp
1638835200000,-9.1003,sl
1639094400000,-5.5759,sl
1639267200000,-7.3161,sl
1639526400000,-11.2691,sl
1639699200000,4.7795,tp
1639785600000,-5.0579,sl
1640044800000,-5.0407,sl
1640217600000,9.4842,tp
1640304000000,3.0877,tp
1640563200000,-10.3494,sl
1640736000000,6.5689,tp
1641168000000,8.1599,tp
1641340800000,3.0282,tp
1641600000000,-9.4052,sl
1641772800000,12.0322,tp
1642377600000,-15.0758,sl
1642464000000,-5.6438,sl
1642550400000,-6.0645,sl
1642723200000,8.6595,tp
1642896000000,-9.3336,sl
1642982400000,-10.1511,sl
1643155200000,-11.7359,sl
1643414400000,-7.9482,sl
1643500800000,7.1132,tp
1643587200000,-8.8842,sl
1643673600000,-7.6819,sl
1643846400000,3.0329,tp
1644019200000,-6.4401,sl
1644537600000,-7.9846,sl
1644624000000,4.7037,tp
1644710400000,3.7786,tp
1644883200000,-9.4187,sl
1645228800000,4.9787,tp
1645401600000,3.4881,tp
1645574400000,-5.2671,sl
1645660800000,-5.2649,sl
1645920000000,-5.6864,sl
1646352000000,-11.3460,sl
1646611200000,4.0086,tp
1646697600000,11.4099,tp
1646784000000,-5.3022,sl
1646870400000,7.3124,tp
1647388800000,-8.9747,sl
1647561600000,6.2415,tp
1647907200000,-7.9559,sl
1648425600000,-6.9127,sl
1648598400000,-5.8732,sl
1648771200000,3.1674,tp
1649116800000,-8.8033,sl
1649289600000,6.3216,tp
1649808000000,-7.6457,sl
1650240000000,-9.6175,sl
1650326400000,3.8317,tp
1650499200000,-6.3698,sl
1650844800000,-9.2432,sl
1651190400000,7.0747,tp
1651276800000,10.4393,tp
1651363200000,3.8746,tp
1651622400000,3.6127,tp
1651881600000,5.7443,tp
1652054400000,4.5936,tp
1652140800000,-10.5880,sl
1652227200000,19.2544,tp
1652313600000,-14.6681,sl
1652400000000,-8.4803,sl
1652572800000,-8.7147,sl
1652659200000,6.6669,tp
1652745600000,3.1408,tp
1652832000000,8.3262,tp
1653004800000,3.9696,tp
1653264000000,-12.4408,sl
1653436800000,11.3706,tp
1653523200000,9.1157,tp
1653609600000,6.3168,tp
1653696000000,-8.5024,sl
1653782400000,-5.4250,sl
1654905600000,5.2014,tp
1654992000000,3.5018,tp
1655078400000,-5.8981,sl
1655337600000,-9.0914,sl
1655596800000,-8.6073,sl
1655769600000,-10.7124,sl
1655856000000,7.1084,tp
1656201600000,-8.2638,sl
1656892800000,-8.3594,sl
1657324800000,5.2975,tp
1657584000000,3.0035,tp
1657670400000,5.5241,tp
1657756800000,9.0935,tp
1658016000000,-6.5732,sl
1658275200000,-7.2538,sl
1658361600000,5.7753,tp
1658793600000,-6.6945,sl
1658880000000,8.5146,tp
1658966400000,6.2247,tp
1659139200000,-8.2944,sl
1659225600000,9.6647,tp
1659312000000,-8.8420,sl
1659916800000,-6.5832,sl
1660262400000,7.4765,tp
1660435200000,-12.3131,sl
1660694400000,-6.1539,sl
1660780800000,-7.8142,sl
1660953600000,-5.9844,sl
1661299200000,4.0963,tp
1661644800000,5.4799,tp
1661817600000,-8.3689,sl
1662076800000,-5.2790,sl
1662422400000,-5.6617,sl
1662681600000,-6.5717,sl
1662940800000,-6.2579,sl
1663027200000,4.2413,tp
1663286400000,7.5539,tp
1663459200000,10.4001,tp
1663632000000,3.8607,tp
1663804800000,5.3628,tp
1664150400000,-8.7810,sl
1664668800000,-5.5879,sl
1665100800000,4.3708,tp
1665964800000,-5.2463,sl
1666137600000,5.2531,tp
1666224000000,-7.1469,sl
1666656000000,-6.2842,sl
1666742400000,5.1100,tp
1666828800000,5.2072,tp
1667001600000,25.5759,tp
1667174400000,6.5651,tp
1667260800000,10.0448,tp
1667433600000,-5.1102,sl
1667520000000,-5.6562,sl
1667865600000,10.0126,tp
1667952000000,27.7731,tp
1668038400000,7.9243,tp
1668211200000,3.2016,tp
1668297600000,7.7514,tp
1668384000000,-12.4501,sl
1668816000000,3.9507,tp
1668902400000,3.4572,tp
1669334400000,4.6026,tp
1669507200000,6.5493,tp
1669680000000,6.6815,tp
1669766400000,-5.2445,sl
1670112000000,-5.5102,sl
1670284800000,-6.1688,sl
1671148800000,8.0858,tp
1672099200000,-6.7163,sl
1672185600000,7.9937,tp
1672617600000,-7.2728,sl
1673136000000,-5.0514,sl
1673568000000,10.4137,tp
1673654400000,13.1884,tp
1674086400000,-6.3843,sl
1674172800000,9.8517,tp
1674604800000,-5.4531,sl
1675036800000,-7.3172,sl
1675123200000,3.8620,tp
1675209600000,11.5951,tp
1675555200000,-7.2251,sl
1675728000000,7.3146,tp
1676073600000,3.5810,tp
1676419200000,6.1543,tp
1676592000000,18.3734,tp
1677024000000,-6.1468,sl
1677283200000,-6.1113,sl
1677369600000,3.3530,tp
1677628800000,10.5855,tp
1677801600000,-9.5557,sl
1678406400000,4.2069,tp
1678579200000,-15.0548,sl
1678665600000,8.3981,tp
1679011200000,3.1855,tp
1679356800000,-11.7509,sl
1679529600000,-7.7667,sl
1679702400000,6.0176,tp
1679961600000,6.0412,tp
1680393600000,6.5194,tp
1681171200000,7.4898,tp
1681516800000,3.4530,tp
1681603200000,4.0556,tp
1681776000000,-6.2634,sl
1682467200000,3.6941,tp
1682553600000,4.8908,tp
1682640000000,-9.0843,sl
1682726400000,-5.1522,sl
1683158400000,-6.1006,sl
1683331200000,-5.3296,sl
1683590400000,-5.1493,sl
1683676800000,3.4782,tp
1683849600000,-7.0525,sl
1684022400000,3.8722,tp
1684454400000,-5.0184,sl
1684540800000,3.4305,tp
1684627200000,5.4962,tp
1684713600000,3.2116,tp
1685232000000,-10.6871,sl
1685491200000,5.4956,tp
1685923200000,13.3227,tp
1686182400000,4.2849,tp
1686268800000,-5.4564,sl
1686355200000,14.5157,tp
1686441600000,3.9043,tp
1686528000000,-7.5593,sl
1686614400000,-5.4820,sl
1686873600000,-14.4148,sl
1687219200000,-9.3812,sl
1687305600000,-8.3992,sl
1687478400000,18.0546,tp
1687564800000,10.3561,tp
1687651200000,-6.7837,sl
1687737600000,6.7730,tp
1687824000000,3.7054,tp
1687910400000,8.5530,tp
1687996800000,5.2468,tp
1688083200000,13.0959,tp
1688169600000,-8.5712,sl
1688342400000,4.1722,tp
1688428800000,-5.3249,sl
1688601600000,3.2503,tp
1689292800000,-6.5637,sl
1689552000000,-8.5309,sl
1689724800000,13.5779,tp
1689984000000,-5.5355,sl
1690329600000,7.6728,tp
1690848000000,-5.5213,sl
