symbol,side,opened_dt,closed_dt,days,entry,exit,reason,pnl
ADA,LONG,2022-03-30,2022-04-11,12,1.1902,0.9686507609484144,cat_stop,-10.0
SOL,LONG,2022-04-10,2022-04-13,3,112.89,103.16,ema_cross,-6.086893436088229
DOGE,LONG,2022-04-07,2022-04-22,15,0.14322,0.1362,ema_cross,-3.485712609970674
NEAR,LONG,2022-04-10,2022-04-26,16,17.539,14.271,ema_cross,-10.0
ADA,SHORT,2022-04-29,2022-06-07,39,0.843,0.6088,ema_cross,19.398991221826808
UNI,SHORT,2022-05-01,2022-06-24,54,6.748,5.615,ema_cross,11.7018132780083
SOL,SHORT,2022-06-08,2022-06-26,18,39.29,42.2,ema_cross,-5.242599134639864
AVAX,SHORT,2022-05-01,2022-07-10,70,56.9,19.87,ema_cross,45.51758242530756
ETH,SHORT,2022-06-27,2022-07-17,20,1197.2,1355.38,ema_cross,-9.30844657534247
XRP,SHORT,2022-05-01,2022-07-18,78,0.5839,0.3432,ema_cross,28.81151087514985
BTC,SHORT,2022-07-11,2022-07-19,8,20853.8,22423.5,ema_cross,-5.327123325245282
HBAR,SHORT,2022-04-29,2022-07-20,82,0.16976,0.07345,ema_cross,39.67300966069745
BCH,SHORT,2022-06-25,2022-07-20,25,114.1,128.23,ema_cross,-8.728179141104292
UNI,LONG,2022-07-29,2022-08-19,21,9.283,7.568,ema_cross,-10.0
NEAR,LONG,2022-08-11,2022-08-19,8,5.903,4.452593103787886,cat_stop,-10.0
LINK,LONG,2022-08-13,2022-08-19,6,9.319,7.527310734350264,cat_stop,-10.0
FIL,LONG,2022-08-04,2022-08-20,16,8.083,6.457,ema_cross,-10.0
NEAR,LONG,2022-08-20,2022-08-21,1,4.246,4.146,ema_cross,-1.7039510127178608
ETH,LONG,2022-07-31,2022-08-22,22,1696.68,1617.17,ema_cross,-3.3350353631798564
DOGE,LONG,2022-08-20,2022-08-23,3,0.06773,0.06838,ema_cross,0.6155163147792684
XRP,LONG,2022-09-26,2022-10-21,25,0.4912,0.4463,ema_cross,-6.452056188925089
ETH,SHORT,2022-09-26,2022-10-26,30,1293.98,1459.19,ema_cross,-8.9968846195459
ADA,SHORT,2022-10-14,2022-10-29,15,0.3764,0.43782703804544354,cat_stop,-10.0
NEAR,SHORT,2022-10-18,2022-11-06,19,3.06,3.33,ema_cross,-6.234941176470588
DOGE,LONG,2022-10-31,2022-11-08,8,0.11768,0.08405536506984032,cat_stop,-10.0
ETH,LONG,2022-10-31,2022-11-08,8,1589.88,1357.0115520797726,cat_stop,-10.0
TRX,LONG,2022-11-01,2022-11-08,7,0.06322,0.058298036172063486,cat_stop,-5.503637661631978
INJ,LONG,2022-11-07,2022-11-08,1,2.587,1.7698796534061754,cat_stop,-10.0
BNB,LONG,2022-11-03,2022-11-09,6,319.98,283.67815344100353,cat_stop,-7.994348669998444
INJ,LONG,2022-11-09,2022-11-11,2,1.975,1.796,ema_cross,-6.397766075949368
DOGE,LONG,2022-11-09,2022-11-13,4,0.08819,0.08809,ema_cross,-0.13534232906225424
BNB,LONG,2022-11-10,2022-11-13,3,266.53,282.68,ema_cross,4.183852174239306
ZEC,SHORT,2022-11-12,2022-12-03,21,39.42,46.1,ema_cross,-10.0
ETH,SHORT,2022-11-14,2022-12-05,21,1220.78,1278.82,ema_cross,-3.3853673880633672
TRX,SHORT,2022-11-13,2022-12-10,27,0.05498,0.05461,ema_cross,0.4152688250272855
BTC,SHORT,2022-11-14,2022-12-11,27,16321.3,17120.1,ema_cross,-3.483322970596702
SOL,SHORT,2022-12-04,2023-01-06,33,13.29,13.417,ema_cross,-0.7251915726109893
NEAR,SHORT,2022-11-13,2023-01-07,55,2.0,1.591,ema_cross,14.264726000000001
ADA,SHORT,2022-12-11,2023-01-09,29,0.3123,0.2975,ema_cross,3.2626500160102543
HBAR,SHORT,2023-01-07,2023-01-09,2,0.03911,0.04482721839058199,cat_stop,-10.0
XLM,SHORT,2022-12-06,2023-01-10,35,0.08687,0.07931,ema_cross,6.0382981466559205
HBAR,SHORT,2023-01-10,2023-01-11,1,0.04441,0.04455,ema_cross,-0.2767592884485496
LINK,SHORT,2023-01-08,2023-01-12,4,5.827,6.281,ema_cross,-5.512102968937701
XRP,SHORT,2022-12-13,2023-01-13,31,0.3871,0.3746,ema_cross,2.2053019891500925
BCH,LONG,2023-01-15,2023-02-12,28,125.83,124.58,ema_cross,-0.7511045060796313
ETH,LONG,2023-01-14,2023-02-13,30,1450.95,1514.48,ema_cross,3.007731458699471
AVAX,LONG,2023-01-15,2023-02-13,29,16.945,17.768,ema_cross,3.342463027441725
BNB,LONG,2023-01-15,2023-02-14,30,305.26,294.04,ema_cross,-2.627859529581334
ADA,LONG,2023-01-16,2023-02-14,29,0.351,0.359,ema_cross,1.5388034188034203
FIL,LONG,2023-02-20,2023-02-25,5,8.471,6.343155372500901,cat_stop,-10.0
HBAR,LONG,2023-02-14,2023-02-28,14,0.08591,0.07225,ema_cross,-10.0
BTC,LONG,2023-02-20,2023-03-04,12,24265.9,22342.8,ema_cross,-5.60136008143115
INJ,LONG,2023-02-13,2023-03-05,20,3.346,3.254,ema_cross,-1.9799163179916335
FIL,LONG,2023-02-26,2023-03-06,8,6.702,6.135,ema_cross,-5.975743957027755
TRX,LONG,2023-02-14,2023-03-08,22,0.06557,0.06625,ema_cross,0.6696513649534849
ADA,SHORT,2023-03-10,2023-03-14,4,0.3097,0.36691823140582014,cat_stop,-10.0
AVAX,SHORT,2023-03-12,2023-03-18,6,14.508,18.25334847694062,cat_stop,-10.0
